month_id,orig_month_id,cust_ucv_id,grp_banner_key,banner_desc,grp_chnl_key,sale_chnl_desc,first_trans_dt,trans_amnt,item_qty,m_freq,recency,frequency,monetary,tot_item_qty,score_recency,score_frecuency,score_monetary,score_rfm,sgmnt_nm
2025-03-31,2025-02-28,-1000000137958623674,-13,B3,1,BRICK,2025-02-02,74.08,9,1,26,1,74.08,9,3,1,1,311,New Customers
2025-05-31,2025-04-30,-1000000137958623674,-13,B3,1,BRICK,2025-02-02,74.08,9,0,87,1,222.24,27,1,1,1,111,Lost customers
2025-08-31,2025-07-31,-1000000137958623674,-12,W2,1,BRICK,2025-05-09,4484.021,690.1,5,1,12,8211.702,997.355,5,4,3,543,Loyal
2025-08-31,2025-07-31,-1000000137958623674,-13,B3,1,BRICK,2025-02-02,665.89,324,0,80,2,2219.91,999,1,2,2,122,Hibernating customers
2025-07-31,2025-06-30,-1000000137958623674,-12,W2,1,BRICK,2025-05-09,2437.851,297.255,5,4,7,3727.681,307.255,5,3,2,532,Potential Loyalist
2025-09-30,2025-08-31,-1000000137958623674,-13,B3,1,BRICK,2025-02-02,665.89,324,0,99,2,2885.8,1323,1,2,2,122,Hibernating customers
2025-06-30,2025-05-31,-1000000137958623674,-13,B3,1,BRICK,2025-02-02,665.89,324,1,19,2,888.13,351,4,2,1,421,New Customers
2025-07-31,2025-06-30,-1000000137958623674,-13,B3,1,BRICK,2025-02-02,665.89,324,0,49,2,1554.02,675,2,2,2,222,Hibernating customers
2025-06-30,2025-05-31,-1000000137958623674,-12,W2,1,BRICK,2025-05-09,1289.83,10,2,3,2,1289.83,10,5,2,2,522,Promising
2025-04-30,2025-03-31,-1000000137958623674,-13,B3,1,BRICK,2025-02-02,74.08,9,0,57,1,148.16,18,2,1,1,211,Hibernating customers
2025-09-30,2025-08-31,-1000000137958623674,-12,W2,1,BRICK,2025-05-09,4484.021,690.1,0,20,12,12695.723,1687.455,4,4,4,444,Loyal
2025-03-31,2025-02-28,-1000000488748896826,-13,B3,1,BRICK,2024-12-31,450.31,67,0,58,2,1291.67,200,2,2,2,222,Hibernating customers
2025-09-30,2025-08-31,-1000000488748896826,-13,B3,1,BRICK,2024-12-31,1114.42,129,0,101,8,6905.04,897,1,3,3,133,At Risk
2025-08-31,2025-07-31,-1000000488748896826,-13,B3,1,BRICK,2024-12-31,1114.42,129,0,82,8,5790.62,768,1,3,3,133,At Risk
2025-01-31,2024-12-31,-1000000488748896826,-13,B3,1,BRICK,2024-12-31,391.05,66,1,0,1,391.05,66,5,1,1,511,New Customers
2025-06-30,2025-05-31,-1000000488748896826,-13,B3,1,BRICK,2024-12-31,1114.42,129,3,21,8,3561.78,510,4,3,2,432,Potential Loyalist
2025-02-28,2025-01-31,-1000000488748896826,-13,B3,1,BRICK,2024-12-31,450.31,67,1,30,2,841.36,133,3,2,1,321,About To Sleep
2025-05-31,2025-04-30,-1000000488748896826,-13,B3,1,BRICK,2024-12-31,688.71,110,2,1,5,2447.36,381,5,3,2,532,Potential Loyalist
2025-04-30,2025-03-31,-1000000488748896826,-13,B3,1,BRICK,2024-12-31,466.98,71,1,4,3,1758.65,271,5,2,2,522,Promising
2025-07-31,2025-06-30,-1000000488748896826,-13,B3,1,BRICK,2024-12-31,1114.42,129,0,51,8,4676.2,639,2,3,3,233,Hibernating customers
2025-06-30,2025-05-31,-1000000550015430266,-13,B3,1,BRICK,2025-01-17,210.534,105.68,0,114,2,996.41,498.4,1,2,1,121,Lost customers
2025-03-31,2025-02-28,-1000000550015430266,-13,B3,1,BRICK,2025-01-17,210.534,105.68,1,22,2,364.808,181.36,4,2,1,421,New Customers
2025-07-31,2025-06-30,-1000000550015430266,-13,B3,1,BRICK,2025-01-17,210.534,105.68,0,144,2,1206.944,604.08,1,2,2,122,Hibernating customers
2025-02-28,2025-01-31,-1000000550015430266,-13,B3,1,BRICK,2025-01-17,154.274,75.68,1,14,1,154.274,75.68,4,1,1,411,New Customers
2025-09-30,2025-08-31,-1000000550015430266,-13,B3,1,BRICK,2025-01-17,210.534,105.68,0,194,2,1628.012,815.44,1,2,2,122,Hibernating customers
2025-05-31,2025-04-30,-1000000550015430266,-13,B3,1,BRICK,2025-01-17,210.534,105.68,0,83,2,785.876,392.72,1,2,1,121,Lost customers
2025-08-31,2025-07-31,-1000000550015430266,-13,B3,1,BRICK,2025-01-17,210.534,105.68,0,175,2,1417.478,709.76,1,2,2,122,Hibernating customers
2025-04-30,2025-03-31,-1000000550015430266,-13,B3,1,BRICK,2025-01-17,210.534,105.68,0,53,2,575.342,287.04,2,2,1,221,About To Sleep
2025-01-31,2024-12-31,-1000000832042418682,-12,W2,1,BRICK,2024-08-02,3374.7935,1516.16,0,151,1,16873.9675,7580.8,1,1,4,114,Cannot Lose Them
2025-02-28,2025-01-31,-1000000832042418682,-12,W2,1,BRICK,2024-08-02,3374.7935,1516.16,0,182,1,20248.761,9096.96,1,1,4,114,Cannot Lose Them
2025-08-31,2025-07-31,-1000000832042418682,-12,W2,1,BRICK,2024-08-02,10694.1405,7045.292,0,38,5,73139.766,43569.704,3,3,5,335,Loyal
2025-09-30,2025-08-31,-1000000832042418682,-13,B3,1,BRICK,2025-07-28,842.8895,559.385,0,22,1,1685.779,1118.77,4,1,2,412,New Customers
2025-03-31,2025-02-28,-1000000832042418682,-12,W2,1,BRICK,2024-08-02,7000.8185,4849.04,1,16,2,27249.5795,13946,4,2,4,424,Promising
2025-09-30,2025-08-31,-1000000832042418682,-12,W2,1,BRICK,2024-08-02,10694.1405,7045.292,0,57,5,83833.9065,50614.996,2,3,5,235,At Risk
