cust_ucv_id,last_trns_dt,b3_br_flag,b3_ea_flag,b3_od_flag,cashi_flag,sm_br_flag,sm_od_flag,w2_br_flag,w2_ea_flag,w2_od_flag,cust_clasif,vertical_depth,banner_depth,banner_path,SRC_BC_node1,TGT_BC_node1,SRC_BC_node1_dt,SRC_BC_node2,TGT_BC_node2,SRC_BC_node2_dt,SRC_BC_node3,TGT_BC_node3,SRC_BC_node3_dt,SRC_BC_node4,TGT_BC_node4,SRC_BC_node4_dt,SRC_BC_node5,TGT_BC_node5,SRC_BC_node5_dt,SRC_BC_node6,TGT_BC_node6,SRC_BC_node6_dt,SRC_BC_node7,TGT_BC_node7,SRC_BC_node7_dt,SRC_BC_node8,TGT_BC_node8,SRC_BC_node8_dt,SRC_BC_node9,TGT_BC_node9,SRC_BC_node9_dt,bc_combination
-1000000137958623674,2025-07-30,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,B3 > W2,B3 BRICK,W2 BRICK,2025-02-02,W2 BRICK,STAYED,2025-05-09,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000000488748896826,2025-05-10,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000000550015430266,2025-02-06,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2025-01-17,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000000832042418682,2025-07-28,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,W2 > B3,W2 BRICK,B3 BRICK,2024-08-02,B3 BRICK,STAYED,2025-07-28,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000001237470251834,2024-11-18,0,0,0,0,0,0,1,0,0,SINGLE BANNER/VERTICAL,1,1,W2,W2 BRICK,STAYED,2024-11-18,,,,,,,,,,,,,,,,,,,,,,,,,W2 BRICK
-1000001318961260607,2024-06-30,0,0,0,0,1,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,SAMS,SAMS BRICK,STAYED,2021-09-21,,,,,,,,,,,,,,,,,,,,,,,,,SAMS BRICK
-1000001380931001980,2025-08-10,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-09-16,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000001588260525050,2024-08-13,0,0,0,0,0,0,0,0,1,SINGLE BANNER/VERTICAL,1,1,W2,W2 OD,STAYED,2024-08-13,,,,,,,,,,,,,,,,,,,,,,,,,W2 OD
-1000001931554046842,2025-04-11,0,0,0,0,0,0,1,0,0,SINGLE BANNER/VERTICAL,1,1,W2,W2 BRICK,STAYED,2024-08-02,,,,,,,,,,,,,,,,,,,,,,,,,W2 BRICK
-1000001976580010170,2025-05-17,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,B3 > W2,B3 BRICK,W2 BRICK,2024-10-05,W2 BRICK,STAYED,2025-02-09,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-100000205989621754,2025-07-13,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,B3 > W2,B3 BRICK,W2 BRICK,2024-08-26,W2 BRICK,STAYED,2024-10-24,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000002336981880058,2025-02-02,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,W2 > B3,W2 BRICK,B3 BRICK,2024-11-18,B3 BRICK,STAYED,2024-12-31,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000002745511862906,2024-12-15,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-06-10,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000002969009885887,2025-08-11,0,0,0,0,1,1,0,0,1,MULTI BANNER/VERTICAL,3,2,SAMS > W2,SAMS BRICK,W2 OD,2021-04-07,W2 OD,SAMS OD,2025-03-05,SAMS OD,STAYED,2025-07-27,,,,,,,,,,,,,,,,,,,"SAMS BRICK, SAMS OD, W2 OD"
-1000003031065675066,2024-08-02,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-08-02,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000003436493508282,2025-08-12,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,W2 > B3,W2 BRICK,B3 BRICK,2024-11-18,B3 BRICK,STAYED,2025-05-22,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000003732634075580,2024-11-04,0,0,0,1,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,CASHI > W2,CASHI,W2 BRICK,2024-11-04,W2 BRICK,STAYED,2024-11-04,,,,,,,,,,,,,,,,,,,,,,"CASHI, W2 BRICK"
-1000003775141863802,2024-10-17,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000003834992222330,2025-07-05,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2025-07-05,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000003845023491130,2025-07-13,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,B3 > W2,B3 BRICK,W2 BRICK,2024-06-10,W2 BRICK,STAYED,2025-03-16,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000003886609802687,2025-08-10,0,0,0,0,1,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,SAMS,SAMS BRICK,STAYED,2022-06-19,,,,,,,,,,,,,,,,,,,,,,,,,SAMS BRICK
-1000004130577303290,2024-08-02,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-08-02,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000004175603266618,2025-04-03,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-10-05,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000004534412458175,2025-08-10,0,0,0,0,1,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,SAMS,SAMS BRICK,STAYED,2022-11-17,,,,,,,,,,,,,,,,,,,,,,,,,SAMS BRICK
-1000004536005136506,2024-12-19,0,0,0,0,0,0,1,0,0,SINGLE BANNER/VERTICAL,1,1,W2,W2 BRICK,STAYED,2024-11-18,,,,,,,,,,,,,,,,,,,,,,,,,W2 BRICK
-1000004874653491962,2025-08-11,0,0,0,0,0,0,1,0,0,SINGLE BANNER/VERTICAL,1,1,W2,W2 BRICK,STAYED,2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,,W2 BRICK
-1000004934503850554,2025-07-05,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2025-07-05,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000004944535119290,2025-05-31,0,0,0,0,0,0,1,0,0,SINGLE BANNER/VERTICAL,1,1,W2,W2 BRICK,STAYED,2024-06-10,,,,,,,,,,,,,,,,,,,,,,,,,W2 BRICK
-1000005230088931514,2025-06-30,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-08-02,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000005230960213311,2025-08-03,0,0,0,0,1,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,SAMS,SAMS BRICK,STAYED,2022-02-24,,,,,,,,,,,,,,,,,,,,,,,,,SAMS BRICK
-1000005275114894778,2025-08-05,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,B3 > W2,B3 BRICK,W2 BRICK,2024-10-05,W2 BRICK,STAYED,2024-12-07,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000005544411070715,2025-02-07,1,0,0,1,0,0,0,0,0,MULTI BANNER/VERTICAL,2,2,CASHI > B3,CASHI,B3 BRICK,2025-02-07,B3 BRICK,STAYED,2025-02-07,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, CASHI"
-1000006044046747514,2025-08-08,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,W2 > B3,W2 BRICK,B3 BRICK,2024-06-10,B3 BRICK,STAYED,2024-06-14,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000006267544770559,2024-10-23,0,0,0,0,1,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,SAMS,SAMS BRICK,STAYED,2021-05-14,,,,,,,,,,,,,,,,,,,,,,,,,SAMS BRICK
-1000006329600559738,2024-08-02,0,0,0,0,0,0,1,0,0,SINGLE BANNER/VERTICAL,1,1,W2,W2 BRICK,STAYED,2024-08-02,,,,,,,,,,,,,,,,,,,,,,,,,W2 BRICK
-1000006374626523002,2025-07-04,0,0,0,0,0,0,1,0,0,SINGLE BANNER/VERTICAL,1,1,W2,W2 BRICK,STAYED,2024-10-05,,,,,,,,,,,,,,,,,,,,,,,,,W2 BRICK
-1000006590015857788,2025-07-28,0,0,0,0,1,1,0,1,0,MULTI BANNER/VERTICAL,3,2,SAMS > W2,SAMS BRICK,SAMS OD,2021-02-06,SAMS OD,W2 EA,2024-08-31,W2 EA,STAYED,2024-12-23,,,,,,,,,,,,,,,,,,,"SAMS BRICK, SAMS OD, W2 EA"
-1000007282479636090,2025-08-06,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2022-04-11,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-100000729081804602,2025-07-24,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-12-24,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000007306827470843,2024-11-18,0,0,0,1,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,CASHI > W2,CASHI,W2 BRICK,2024-11-18,W2 BRICK,STAYED,2024-11-18,,,,,,,,,,,,,,,,,,,,,,"CASHI, W2 BRICK"
-1000007343241033658,2025-05-14,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-11-26,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000007429112187898,2025-08-13,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,W2 > B3,W2 BRICK,B3 BRICK,2024-08-02,B3 BRICK,STAYED,2024-11-25,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000007474138151226,2025-02-17,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,W2 > B3,W2 BRICK,B3 BRICK,2024-10-05,B3 BRICK,STAYED,2025-02-17,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000008125340473916,2024-03-14,0,0,1,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 OD,STAYED,2024-03-14,,,,,,,,,,,,,,,,,,,,,,,,,B3 OD
-1000008169189238396,2025-06-07,0,0,0,0,0,0,0,0,1,SINGLE BANNER/VERTICAL,1,1,W2,W2 OD,STAYED,2025-02-13,,,,,,,,,,,,,,,,,,,,,,,,,W2 OD
-1000008243070003962,2024-09-03,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-06-10,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000008334025343228,2025-07-23,0,1,0,0,1,0,0,0,0,MULTI BANNER/VERTICAL,2,2,SAMS > B3,SAMS BRICK,B3 EA,2023-05-19,B3 EA,STAYED,2023-06-03,,,,,,,,,,,,,,,,,,,,,,"B3 EA, SAMS BRICK"
-1000008442752661882,2025-07-22,0,0,0,0,0,0,1,0,0,SINGLE BANNER/VERTICAL,1,1,W2,W2 BRICK,STAYED,2024-11-26,,,,,,,,,,,,,,,,,,,,,,,,,W2 BRICK
-100000852773372218,2025-04-03,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-12-30,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000008528623816122,2025-07-20,0,0,0,0,0,0,1,0,0,SINGLE BANNER/VERTICAL,1,1,W2,W2 BRICK,STAYED,2024-08-02,,,,,,,,,,,,,,,,,,,,,,,,,W2 BRICK
-1000008573649779450,2025-08-02,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-10-05,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000009020679544700,2025-04-25,0,0,0,0,1,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,SAMS,SAMS BRICK,STAYED,2021-03-08,,,,,,,,,,,,,,,,,,,,,,,,,SAMS BRICK
-100000924339196282,2025-08-07,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-11-01,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000009284841922490,2025-03-16,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,B3 > W2,B3 BRICK,W2 BRICK,2024-12-31,W2 BRICK,STAYED,2025-01-26,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000009342581632186,2025-08-05,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,B3 > W2,B3 BRICK,W2 BRICK,2024-06-10,W2 BRICK,STAYED,2025-06-02,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000009380551119999,2025-08-10,0,0,0,0,1,1,0,0,0,SINGLE BANNER/VERTICAL,2,1,SAMS,SAMS OD,SAMS BRICK,2025-05-31,SAMS BRICK,STAYED,2025-06-08,,,,,,,,,,,,,,,,,,,,,,"SAMS BRICK, SAMS OD"
-1000009481502892538,2025-07-31,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,B3 > W2,B3 BRICK,W2 BRICK,2022-04-11,W2 BRICK,STAYED,2022-11-18,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000009628135444346,2025-07-29,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,W2 > B3,W2 BRICK,B3 BRICK,2024-08-02,B3 BRICK,STAYED,2025-03-27,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000009673161407674,2024-10-05,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-10-05,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000010298819334523,2025-02-22,1,0,0,1,0,0,0,0,0,MULTI BANNER/VERTICAL,2,2,B3 > CASHI,B3 BRICK,CASHI,2025-02-22,CASHI,STAYED,2025-02-22,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, CASHI"
-1000010384353550714,2024-12-31,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000010442093260346,2025-04-30,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,W2 > B3,W2 BRICK,B3 BRICK,2024-06-10,B3 BRICK,STAYED,2024-09-30,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000010612337932986,2025-06-23,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,W2 > B3,W2 BRICK,B3 BRICK,2024-11-10,B3 BRICK,STAYED,2025-03-15,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000010727647072570,2025-06-01,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,B3 > W2,B3 BRICK,W2 BRICK,2024-08-02,W2 BRICK,STAYED,2025-05-29,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000010747342176698,2025-08-13,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,W2 > B3,W2 BRICK,B3 BRICK,2024-06-14,B3 BRICK,STAYED,2024-09-05,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000011711849561210,2024-11-10,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-11-10,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000011741287546490,2025-05-21,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,W2 > B3,W2 BRICK,B3 BRICK,2024-11-26,B3 BRICK,STAYED,2024-11-29,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000011923989727739,2024-01-06,0,0,0,1,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,CASHI > W2,CASHI,W2 BRICK,2024-01-06,W2 BRICK,STAYED,2024-01-06,,,,,,,,,,,,,,,,,,,,,,"CASHI, W2 BRICK"
-1000012217678962171,2025-06-26,1,0,0,1,0,0,0,0,0,MULTI BANNER/VERTICAL,2,2,CASHI > B3,CASHI,B3 BRICK,2025-06-26,B3 BRICK,STAYED,2025-06-26,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, CASHI"
-10000123483388603,2025-07-30,0,0,0,1,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,CASHI > W2,CASHI,W2 BRICK,2025-07-30,W2 BRICK,STAYED,2025-07-30,,,,,,,,,,,,,,,,,,,,,,"CASHI, W2 BRICK"
-1000012433015939323,2024-11-07,0,0,0,1,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,CASHI > W2,CASHI,W2 BRICK,2024-11-07,W2 BRICK,STAYED,2024-11-07,,,,,,,,,,,,,,,,,,,,,,"CASHI, W2 BRICK"
-1000012571234889466,2025-08-08,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000012583376807162,2025-04-27,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000012780037777146,2025-07-19,0,0,0,0,0,0,1,0,0,SINGLE BANNER/VERTICAL,1,1,W2,W2 BRICK,STAYED,2022-05-11,,,,,,,,,,,,,,,,,,,,,,,,,W2 BRICK
-1000012798157359290,2025-03-11,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2025-03-11,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000012807213510975,2025-07-31,0,0,0,0,1,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,SAMS,SAMS BRICK,STAYED,2022-10-19,,,,,,,,,,,,,,,,,,,,,,,,,SAMS BRICK
-1000012837074341244,2025-06-06,0,0,0,0,0,0,0,0,1,SINGLE BANNER/VERTICAL,1,1,W2,W2 OD,STAYED,2025-04-23,,,,,,,,,,,,,,,,,,,,,,,,,W2 OD
-1000012840799174714,2025-07-29,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,B3 > W2,B3 BRICK,W2 BRICK,2024-11-26,W2 BRICK,STAYED,2025-07-29,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000012946365433082,2025-02-20,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,B3 > W2,B3 BRICK,W2 BRICK,2024-06-14,W2 BRICK,STAYED,2025-02-20,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000013168291292479,2025-08-03,0,0,0,0,1,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,SAMS,SAMS BRICK,STAYED,2021-02-07,,,,,,,,,,,,,,,,,,,,,,,,,SAMS BRICK
