cust_ucv_id,src_frst_trns_dt,last_trns_dt,banner_desc,sale_chnl_desc,SRC_BC_node,banner_order,banner_desc_tgt,sale_chnl_desc_tgt,TGT_BC_node,tgt_frst_trns_dt,trans_tgt_days,trans_desc,bc_path,vertical_depth,link_src,link_tgt,banner_path,banner_depth
-1000000137958623674,2025-02-02,2025-05-12,B3,BRICK,B3 BRICK,1,W2,BRICK,W2 BRICK,2025-05-09,96,1 --> 2,B3 BRICK,2,B3 BRICK_1,W2 BRICK_2,B3 > W2,2
-1000000137958623674,2025-05-09,2025-07-30,W2,BRICK,W2 BRICK,2,,,STAYED,,,,B3 BRICK > W2 BRICK,2,W2 BRICK_2,STAYED_3,B3 > W2,2
-1000000488748896826,2024-12-31,2025-05-10,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000000550015430266,2025-01-17,2025-02-06,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000000832042418682,2025-07-28,2025-07-28,B3,BRICK,B3 BRICK,2,,,STAYED,,,,W2 BRICK > B3 BRICK,2,B3 BRICK_2,STAYED_3,W2 > B3,2
-1000000832042418682,2024-08-02,2025-06-23,W2,BRICK,W2 BRICK,1,B3,BRICK,B3 BRICK,2025-07-28,360,1 --> 2,W2 BRICK,2,W2 BRICK_1,B3 BRICK_2,W2 > B3,2
-1000001237470251834,2024-11-18,2024-11-18,W2,BRICK,W2 BRICK,1,,,STAYED,,,,W2 BRICK,1,W2 BRICK_1,STAYED_2,W2,1
-1000001318961260607,2021-09-21,2024-06-30,SAMS,BRICK,SAMS BRICK,1,,,STAYED,,,,SAMS BRICK,1,SAMS BRICK_1,STAYED_2,SAMS,1
-1000001380931001980,2024-09-16,2025-08-10,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000001588260525050,2024-08-13,2024-08-13,W2,OD,W2 OD,1,,,STAYED,,,,W2 OD,1,W2 OD_1,STAYED_2,W2,1
-1000001931554046842,2024-08-02,2025-04-11,W2,BRICK,W2 BRICK,1,,,STAYED,,,,W2 BRICK,1,W2 BRICK_1,STAYED_2,W2,1
-1000001976580010170,2025-02-09,2025-02-09,W2,BRICK,W2 BRICK,2,,,STAYED,,,,B3 BRICK > W2 BRICK,2,W2 BRICK_2,STAYED_3,B3 > W2,2
-1000001976580010170,2024-10-05,2025-05-17,B3,BRICK,B3 BRICK,1,W2,BRICK,W2 BRICK,2025-02-09,127,1 --> 2,B3 BRICK,2,B3 BRICK_1,W2 BRICK_2,B3 > W2,2
-100000205989621754,2024-10-24,2024-10-24,W2,BRICK,W2 BRICK,2,,,STAYED,,,,B3 BRICK > W2 BRICK,2,W2 BRICK_2,STAYED_3,B3 > W2,2
-100000205989621754,2024-08-26,2025-07-13,B3,BRICK,B3 BRICK,1,W2,BRICK,W2 BRICK,2024-10-24,59,1 --> 2,B3 BRICK,2,B3 BRICK_1,W2 BRICK_2,B3 > W2,2
